"video_id","trending_date","title","channel_title","category_id","category","viewcount","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed","descript","country","publish_timestamp","population"
"Bv_BGC9Fhnk","2017-11-14","Kisabac Lusamutner eter 13.11.17 Ushagnac Kaper","KisabacLusamutner",29,"Nonprofits & Activism",18434,72,14,0,"https://i.ytimg.com/vi/Bv_BGC9Fhnk/default.jpg",True,False,False,"ՈՒՇԱԳՆԱՑ ԿԱՊԵՐ - Լիանա Հարությունյանը վստահեցնում է, որ իր կյանքի դժվարությունները սկսվել են դեռ այն ժամանակ, երբ ինքը ծնված չի եղել: Սկզբում  նրան չընդունեց  հարազատ հայրը, հետո  էլ  խորթ հայրը: Ամուսնությունից  հետո այսօր երիտասարդ կնոջը  չի  ընդունում նաև  սկեսուրը։  Ամուսնու հարազատները չընդունեցին Լիանային, իսկ մինչ ամուսնությունը՝ մոր թեթև ձեռքով Սերգեյը հայտնվել էր  հոգեբուժարանում։ \nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-13 17:34:04","armenian"
"ToPsnfbuwHc","2017-11-15","Kisabac Lusamutner eter 14.11.17 Albinayi Ishkhane","KisabacLusamutner",29,"Nonprofits & Activism",15669,92,20,0,"https://i.ytimg.com/vi/ToPsnfbuwHc/default.jpg",True,False,False,"ԱԼԲԻՆԱՅԻ ԻՇԽԱՆԸ - Այսօր  Կիսաբաց  լուսամուտների տաղավարում 48-ամյա Իշխան Միրզոյանը կպատմի իր չստացաված  երկու  ամուսնությունների, հոգեկան խնդիրներ ունեցող կնոջ մասին, ով փորձել է խեղդել նրա մորը։ Ո՞րն է նրա բաժանությունների պատճառը, ինչպե՞ս է այսօր նա  ապրում և ինչո՞ւ է երկրորդ  ամուսնությունից ծնված  դուստրը ապրում իր հետ:\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-14 17:06:30","armenian"
"0pi1atroQ-Y","2017-11-16","Kisabac Lusamutner eter 15.11.17 Mshtakan Champordnere","KisabacLusamutner",29,"Nonprofits & Activism",23293,66,28,0,"https://i.ytimg.com/vi/0pi1atroQ-Y/default.jpg",True,False,False,"ՄՇՏԱԿԱՆ ՃԱՄՓՈՐԴՆԵՐԸ - Կիսաբաց լուսամուտների տաղավարում  Ուլիխանովների ընտանիքի  պատմությունն է։ Քաղաքից քաղաք  տեղափոխվելով 2017 թվականի հուլիսին Ուլիխանովների ընտանիքը ստիպված եղավ թողնել Շուշիում իրենց տունն ու ճանապարհ ընկնել դեպի Երևան: Երևան գալով Միքայելը զրկվեց աշխատանքից։ Նա այսօր  սրբապատկերներ է  պատրաստում:\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-15 17:06:07","armenian"
"AleHmBh29kc","2017-11-16","Русский Фейерверк Екатреинбург","Русский Фейерверк, магазины салютов в России",24,"Entertainment",24868,6,107,0,"https://i.ytimg.com/vi/AleHmBh29kc/default.jpg",True,False,False,"День Рождения это личный Новый год!\nКупи Русский Фейерверк 🇷🇺💥\n_________________________________\nДари Радость!\n+ 7 343 233 57 79\nwww.96rf.ru\nРусский Фейерверк, магазины салютов №1 в России","RU","2017-04-03 17:53:15","russian"
"DeZlHaaTJ6U","2017-11-17","Diriliş Ertuğrul 96.Bölüm Tanıtımı","TRT 1",24,"Entertainment",357940,0,0,0,"https://i.ytimg.com/vi/DeZlHaaTJ6U/default.jpg",True,True,False,"www.trt1.com.tr \nfacebook.com/trt1\ntwitter.com/trt1","RU","2017-11-15 20:35:07","turkish"
"jT7lfmrJKH0","2017-12-02","Ахбори Тоҷикистон ва ҷаҳон (01.12.2017)اخبار تاجیکستان .(HD)","Ozodivideo",25,"News & Politics",94310,687,135,0,"https://i.ytimg.com/vi/jT7lfmrJKH0/default.jpg",True,False,False,"Додгоҳи Русия мехоҳад фаъоли ҷамоаи муҳоҷирони тоҷик Каромат Шариповро аз Русия ихроҷ кунад, Тоҷикистон ба зимистони сарду сербориш омода шудааст, гирифторони Вич-Спид аз муносибати сард бо онҳо шиква доранд ва матолиби дигар.","RU","2017-12-01 12:38:00","other"
"8A5j15vRMF4","2017-11-17","Kisabac Lusamutner eter 16.11.17 Gtnvatse","KisabacLusamutner",29,"Nonprofits & Activism",22983,182,14,0,"https://i.ytimg.com/vi/8A5j15vRMF4/default.jpg",True,False,False,"ԳՏՆՎԱԾԸ - Ամալյա Դավիթավյանը  20 տարի սպասեց և մեկ օրում գտավ տարիների երազանքը։ Ինչպե՞ս է Նարեկը հաղթահարում ճշմարտության իր բաժինն ու ի՞նչ մտքեր ունի նա կենսաբանական մոր մասին՝ կիմանանք այսօր երկրի թիվ մեկ թոք շոուի տաղավարում:\nՀԱՅԿԱԿԱՆ ՀԵՌՈՒՍՏԱԵՍՈՒԹՅԱՆ ԹԻՎ 1 ԹՈՔ ՇՈ1ՈՒ\nերկուշաբթի-ուրբաթ ATV-ի եթերում!!","RU","2017-11-16 17:20:21","armenian"
"q83UqSmYTtk","2017-11-20","Всероссийский конкурс юных талантов Синяя птица 2017. 3 сезон. Прямая трансляция 19.11.17","Россия 1",24,"Entertainment",7480,103,12,0,"https://i.ytimg.com/vi/q83UqSmYTtk/default.jpg",True,False,False,"Всероссийский конкурс юных талантов Синяя птица новый, 3 сезон. Прямая трансляция 19.11.17 смотреть онлайн\n▶Смотри все выпуски на канале Синяя птица: https://www.youtube.com/channel/UCNSSx16dne2Cyvf70lYTYjQ?sub_confirmation=1\n▶Официальный сайт: http://ptica.tv\n\nУже в третий раз Синяя птица пролетела по всей стране в поиске самых ярких, самых настойчивых и преданных своей мечте юных артистов. Всероссийский конкурс помогает сбыться мечте одаренных детей России.\nВ этом году на участие в конкурсе пришло больше 10 000 заявок – вдвое больше, чем в прошлом сезоне. Но на сцене Синей птицы зрители увидят не более 100 ребят со всех уголков России – только лучших из лучших!  \n\nСмотрите с 12 ноября каждое воскресенье в 18:00 выступлениях самых ярких и талантливых детей страны! Синяя птица открывает новый сезон. Этого события с нетерпением ждут миллионы поклонников конкурса. Для участников это начало большого творческого пути, а для зрителей – волшебный праздник, радость встречи с новыми талантами и потрясающие открытия. Дети, которых впервые пригласит на сцену Дарья Златопольская, завтра могут стать звездами мирового искусства, славой и гордостью России.\n\nСмотрите также:\n🔴 Андрей Малахов. Прямой эфир https://www.youtube.com/playlist?list=PLHI1ZlIXQzpGqOVtUQg0Hc3L2jaEcu_zY\n🔴 Действующие лица с Наилей Аскер-заде https://www.youtube.com/playlist?list=PLHI1ZlIXQzpE5o80SYqnk2xKyIZGtT24T\n🔴 Судьба человека https://www.youtube.com/playlist?list=PLHI1ZlIXQzpE5dG_wVHalzpP7mE8YK5mo\n🔴 Когда все дома https://www.youtube.com/playlist?list=PLHI1ZlIXQzpEs5M7mB_IFSOAoS4auRz60\n🔴 О самом главном https://www.youtube.com/playlist?list=PLHI1ZlIXQzpH0EAfebkhCRB8LgXSkkQA6\n🔴 Субботний вечер https://www.youtube.com/playlist?list=PLHI1ZlIXQzpGBQcYVrrWgI_CfHxYkEiqs\n🔴 Пятеро на одного https://www.youtube.com/playlist?list=PLHI1ZlIXQzpEZmfxMyGfD2AEdp3jEw_cD\n🔴 Аншлаг и Компания https://www.youtube.com/playlist?list=PLHI1ZlIXQzpEmTn6oi3rUwhbtRACjfh5a\n🔴 Юмор! Юмор! Юмор! https://www.youtube.com/playlist?list=PLHI1ZlIXQzpH_zsHgAPJZYorRJ8RUlotv\n🔴 Это смешно https://www.youtube.com/playlist?list=PLHI1ZlIXQzpHvW1ByOP9HqZoUfzQUKuis\n🔴 Петросян-Шоу https://www.youtube.com/playlist?list=PLHI1ZlIXQzpHrUiFxNSSsEJ-jZEzxIPGn\n\nДругие каналы:\n🔴 Фильмы и сериалы канала Россия https://www.youtube.com/c/russianTVseries","RU","2017-11-19 17:07:15","russian"
"GTuXMqktAOw","2018-03-22","Diriliş Ertuğrul 111. Bölüm –Söğüt Benim ve Obamın Hakkıdır!","TRT 1",24,"Entertainment",187616,1403,72,0,"https://i.ytimg.com/vi/GTuXMqktAOw/default.jpg",True,False,False,"www.trt1.com.tr \nfacebook.com/trt1\ntwitter.com/trt1","RU","2018-03-21 20:42:15","turkish"
"kuFqAGwXzFM","2017-11-18","NOGIRON KELIN, ORZU HAVASLI QAYNONA, E'TIBORSIZ ONA MASHMASHASI","Chef Odinahon",27,"Education",19288,75,10,0,"https://i.ytimg.com/vi/kuFqAGwXzFM/default.jpg",True,False,False,"biz bilan bog'lanish uchun telegram: https://t.me/chefodinahon","RU","2017-11-17 00:04:21","other"
